Bait gene/protein	Hit gene/protein	Bait Standard Name	Hit Standard Name	Experimental System	Source	PubMed ID
YBR004C	YLR082C	GPI18	SRL2	Two-hybrid	Ito T et al	11283351
YBR013C	YGR292W	YBR013C	MAL12	Two-hybrid	Ito T et al	11283351
YBR019C	YOL150C	GAL10	YOL150C	Two-hybrid	Ito T et al	11283351
YBR021W	YOR128C	FUR4	ADE2	Two-hybrid	Ito T et al	11283351
YBR025C	YNL207W	YBR025C	RIO2	Two-hybrid	Ito T et al	11283351
YBR033W	YNL228W	EDS1	YNL228W	Two-hybrid	Ito T et al	11283351
YBR043C	YJL155C	QDR3	FBP26	Two-hybrid	Ito T et al	11283351
YBR054W	YDR190C	YRO2	RVB1	Two-hybrid	Ito T et al	11283351
YBR058C	YOL059W	UBP14	GPD2	Two-hybrid	Ito T et al	11283351
YBR058C	YOL064C	UBP14	MET22	Two-hybrid	Ito T et al	11283351
YBR058C	YOL113W	UBP14	SKM1	Two-hybrid	Ito T et al	11283351
YBR058C	YOL132W	UBP14	GAS4	Two-hybrid	Ito T et al	11283351
YBR058C	YOL156W	UBP14	HXT11	Two-hybrid	Ito T et al	11283351
YBR058C	YOR123C	UBP14	LEO1	Two-hybrid	Ito T et al	11283351
YBR059C	YBR059C	AKL1	AKL1	Two-hybrid	Ito T et al	11283351
YBR061C	YBR300C	TRM7	YBR300C	Two-hybrid	Ito T et al	11283351
YBR061C	YDR383C	TRM7	NKP1	Two-hybrid	Ito T et al	11283351
YBR061C	YDR461W	TRM7	MFA1	Two-hybrid	Ito T et al	11283351
YBR061C	YER028C	TRM7	MIG3	Two-hybrid	Ito T et al	11283351
YBR061C	YGR182C	TRM7	YGR182C	Two-hybrid	Ito T et al	11283351
YBR061C	YGR195W	TRM7	SKI6	Two-hybrid	Ito T et al	11283351
YBR061C	YGR201C	TRM7	YGR201C	Two-hybrid	Ito T et al	11283351
YBR061C	YGR219W	TRM7	YGR219W	Two-hybrid	Ito T et al	11283351
YBR061C	YGR235C	TRM7	YGR235C	Two-hybrid	Ito T et al	11283351
YBR061C	YGR277C	TRM7	YGR277C	Two-hybrid	Ito T et al	11283351
YBR061C	YHL011C	TRM7	PRS3	Two-hybrid	Ito T et al	11283351
YBR061C	YHR008C	TRM7	SOD2	Two-hybrid	Ito T et al	11283351
YBR061C	YHR022C	TRM7	YHR022C	Two-hybrid	Ito T et al	11283351
YBR061C	YHR026W	TRM7	PPA1	Two-hybrid	Ito T et al	11283351
YBR061C	YHR058C	TRM7	MED6	Two-hybrid	Ito T et al	11283351
YBR061C	YHR059W	TRM7	FYV4	Two-hybrid	Ito T et al	11283351
YBR061C	YJL016W	TRM7	YJL017W	Two-hybrid	Ito T et al	11283351
YBR061C	YJL097W	TRM7	YJL097W	Two-hybrid	Ito T et al	11283351
YBR061C	YJL140W	TRM7	RPB4	Two-hybrid	Ito T et al	11283351
YBR061C	YJL166W	TRM7	QCR8	Two-hybrid	Ito T et al	11283351
YBR064W	YOR317W	YBR064W	FAA1	Two-hybrid	Ito T et al	11283351
YBR067C	YNL237W	TIP1	YTP1	Two-hybrid	Ito T et al	11283351
YBR067C	YPR138C	TIP1	MEP3	Two-hybrid	Ito T et al	11283351
YBR068C	YOR133W	BAP2	EFT1	Two-hybrid	Ito T et al	11283351
YBR069C	YOL109W	TAT1	ZEO1	Two-hybrid	Ito T et al	11283351
YBR074W	YMR083W	YBR075W	ADH3	Two-hybrid	Ito T et al	11283351
YBR077C	YGR201C	SLM4	YGR201C	Two-hybrid	Ito T et al	11283351
YBR077C	YOR045W	SLM4	TOM6	Two-hybrid	Ito T et al	11283351
YBR087W	YJR068W	RFC5	RFC2	Two-hybrid	Ito T et al	11283351
YBR087W	YLR390W	RFC5	ECM19	Two-hybrid	Ito T et al	11283351
YBR090C	YER158C	YBR090C	YER158C	Two-hybrid	Ito T et al	11283351
YBR093C	YKR106W	PHO5	YKR106W	Two-hybrid	Ito T et al	11283351
YBR093C	YML077W	PHO5	BET5	Two-hybrid	Ito T et al	11283351
YBR094W	YOL149W	YBR094W	DCP1	Two-hybrid	Ito T et al	11283351
YBR101C	YBR014C	FES1	YBR014C	Two-hybrid	Ito T et al	11283351
YBR101C	YHL021C	FES1	FMP12	Two-hybrid	Ito T et al	11283351
YBR101C	YJL117W	FES1	PHO86	Two-hybrid	Ito T et al	11283351
YBR101C	YKL171W	FES1	YKL171W	Two-hybrid	Ito T et al	11283351
YBR101C	YLL062C	FES1	MHT1	Two-hybrid	Ito T et al	11283351
YBR101C	YLR074C	FES1	BUD20	Two-hybrid	Ito T et al	11283351
YBR101C	YLR194C	FES1	YLR194C	Two-hybrid	Ito T et al	11283351
YBR101C	YMR092C	FES1	AIP1	Two-hybrid	Ito T et al	11283351
YBR101C	YMR173W	FES1	DDR48	Two-hybrid	Ito T et al	11283351
YBR101C	YOL011W	FES1	PLB3	Two-hybrid	Ito T et al	11283351
YBR101C	YPL136W	FES1	YPL136W	Two-hybrid	Ito T et al	11283351
YBR103W	YCR077C	SIF2	PAT1	Two-hybrid	Ito T et al	11283351
YBR103W	YIL112W	SIF2	HOS4	Two-hybrid	Ito T et al	11283351
YBR103W	YJR141W	SIF2	YJR141W	Two-hybrid	Ito T et al	11283351
YJR141W	YBR103W	YJR141W	SIF2	Two-hybrid	Ito T et al	11283351
YBR103W	YMR061W	SIF2	RNA14	Two-hybrid	Ito T et al	11283351
YBR108W	YDR388W	YBR108W	RVS167	Two-hybrid	Ito T et al	11283351
YBR108W	YGR136W	YBR108W	LSB1	Two-hybrid	Ito T et al	11283351
YBR127C	YGR117C	VMA2	YGR117C	Two-hybrid	Ito T et al	11283351
YBR133C	YER087W	HSL7	YER087W	Two-hybrid	Ito T et al	11283351
YBR133C	YJL187C	HSL7	SWE1	Two-hybrid	Ito T et al	11283351
YBR135W	YBR252W	CKS1	DUT1	Two-hybrid	Ito T et al	11283351
YBR135W	YDR078C	CKS1	SHU2	Two-hybrid	Ito T et al	11283351
YBR135W	YGR108W	CKS1	CLB1	Two-hybrid	Ito T et al	11283351
YBR135W	YLR210W	CKS1	CLB4	Two-hybrid	Ito T et al	11283351
YBR139W	YOR381W	YBR139W	FRE3	Two-hybrid	Ito T et al	11283351
YBR146W	YIL070C	MRPS9	MAM33	Two-hybrid	Ito T et al	11283351
YBR149W	YDL211C	ARA1	YDL211C	Two-hybrid	Ito T et al	11283351
YBR149W	YNL128W	ARA1	TEP1	Two-hybrid	Ito T et al	11283351
YBR154C	YFL023W	RPB5	BUD27	Two-hybrid	Ito T et al	11283351
YFL023W	YBR154C	BUD27	RPB5	Two-hybrid	Ito T et al	11283351
YBR158W	YDR111C	AMN1	ALT2	Two-hybrid	Ito T et al	11283351
YBR162C	YBL095W	TOS1	YBL095W	Two-hybrid	Ito T et al	11283351
YBR162C	YBR192W	TOS1	RIM2	Two-hybrid	Ito T et al	11283351
YBR162C	YGR249W	TOS1	MGA1	Two-hybrid	Ito T et al	11283351
YBR162C	YNL217W	TOS1	YNL217W	Two-hybrid	Ito T et al	11283351
YBR162C	YOL028C	TOS1	YAP7	Two-hybrid	Ito T et al	11283351
YBR162C	YPR155C	TOS1	NCA2	Two-hybrid	Ito T et al	11283351
YBR162W-A	YIL027C	YSY6	KRE27	Two-hybrid	Ito T et al	11283351
YBR162W-A	YLR090W	YSY6	XDJ1	Two-hybrid	Ito T et al	11283351
YBR162W-A	YML108W	YSY6	YML108W	Two-hybrid	Ito T et al	11283351
YBR170C	YDL126C	NPL4	CDC48	Two-hybrid	Ito T et al	11283351
YBR170C	YDR259C	NPL4	YAP6	Two-hybrid	Ito T et al	11283351
YBR170C	YGR048W	NPL4	UFD1	Two-hybrid	Ito T et al	11283351
YGR048W	YBR170C	UFD1	NPL4	Two-hybrid	Ito T et al	11283351
YBR171W	YCL057W	SEC66	PRD1	Two-hybrid	Ito T et al	11283351
YBR175W	YGR249W	SWD3	MGA1	Two-hybrid	Ito T et al	11283351
YBR175W	YHR177W	SWD3	GON3	Two-hybrid	Ito T et al	11283351
YBR175W	YIL160C	SWD3	POT1	Two-hybrid	Ito T et al	11283351
YBR175W	YOR047C	SWD3	STD1	Two-hybrid	Ito T et al	11283351
YBR178W	YHR122W	YBR178W	YHR122W	Two-hybrid	Ito T et al	11283351
YBR184W	YNL225C	YBR184W	CNM67	Two-hybrid	Ito T et al	11283351
YBR187W	YNR032W	YBR187W	PPG1	Two-hybrid	Ito T et al	11283351
YBR188C	YDR416W	NTC20	SYF1	Two-hybrid	Ito T et al	11283351
YBR192W	YER078C	RIM2	YER078C	Two-hybrid	Ito T et al	11283351
YBR195C	YHR004C	MSI1	NEM1	Two-hybrid	Ito T et al	11283351
YBR195C	YLR418C	MSI1	CDC73	Two-hybrid	Ito T et al	11283351
YBR198C	YDR259C	TAF5	YAP6	Two-hybrid	Ito T et al	11283351
YBR198C	YGL112C	TAF5	TAF6	Two-hybrid	Ito T et al	11283351
YBR198C	YHR137W	TAF5	ARO9	Two-hybrid	Ito T et al	11283351
YBR198C	YML061C	TAF5	PIF1	Two-hybrid	Ito T et al	11283351
YBR203W	YKL006C-A	COS111	SFT1	Two-hybrid	Ito T et al	11283351
YBR207W	YGR152C	FTH1	RSR1	Two-hybrid	Ito T et al	11283351
YBR213W	YMR206W	MET8	YMR206W	Two-hybrid	Ito T et al	11283351
YBR216C	YKL068W	YBP1	NUP100	Two-hybrid	Ito T et al	11283351
YBR216C	YML007W	YBP1	YAP1	Two-hybrid	Ito T et al	11283351
YBR217W	YLR423C	ATG12	ATG17	Two-hybrid	Ito T et al	11283351
YBR217W	YMR159C	ATG12	ATG16	Two-hybrid	Ito T et al	11283351
YMR159C	YBR217W	ATG16	ATG12	Two-hybrid	Ito T et al	11283351
YBR223C	YDR510W	TDP1	SMT3	Two-hybrid	Ito T et al	11283351
YBR228W	YLR135W	SLX1	SLX4	Two-hybrid	Ito T et al	11283351
YBR230C	YOR014W	YBR230C	RTS1	Two-hybrid	Ito T et al	11283351
YBR233W	YMR173W	PBP2	DDR48	Two-hybrid	Ito T et al	11283351
YBR239C	YOR317W	YBR239C	FAA1	Two-hybrid	Ito T et al	11283351
YBR239C	YPL133C	YBR239C	RDS2	Two-hybrid	Ito T et al	11283351
YBR246W	YDR520C	YBR246W	YDR520C	Two-hybrid	Ito T et al	11283351
YBR250W	YML038C	YBR250W	YMD8	Two-hybrid	Ito T et al	11283351
YBR252W	YLL037W	DUT1	YLL037W	Two-hybrid	Ito T et al	11283351
YBR254C	YDR472W	TRS20	TRS31	Two-hybrid	Ito T et al	11283351
YBR254C	YJR116W	TRS20	YJR116W	Two-hybrid	Ito T et al	11283351
YBR260C	YJL058C	RGD1	BIT61	Two-hybrid	Ito T et al	11283351
YBR260C	YMR032W	RGD1	HOF1	Two-hybrid	Ito T et al	11283351
YBR261C	YDR465C	YBR261C	RMT2	Two-hybrid	Ito T et al	11283351
YBR263W	YML018C	SHM1	YML018C	Two-hybrid	Ito T et al	11283351
YBR264C	YOR370C	YPT10	MRS6	Two-hybrid	Ito T et al	11283351
YBR266C	YPR031W	SLM6	NTO1	Two-hybrid	Ito T et al	11283351
YBR270C	YCR077C	BIT2	PAT1	Two-hybrid	Ito T et al	11283351
YBR270C	YDR259C	BIT2	YAP6	Two-hybrid	Ito T et al	11283351
YBR270C	YER093C	BIT2	TSC11	Two-hybrid	Ito T et al	11283351
YER093C	YBR270C	TSC11	BIT2	Two-hybrid	Ito T et al	11283351
YBR270C	YFL047W	BIT2	RGD2	Two-hybrid	Ito T et al	11283351
YBR270C	YGR249W	BIT2	MGA1	Two-hybrid	Ito T et al	11283351
YBR270C	YIL105C	BIT2	SLM1	Two-hybrid	Ito T et al	11283351
YBR270C	YJL039C	BIT2	NUP192	Two-hybrid	Ito T et al	11283351
YBR270C	YKR026C	BIT2	GCN3	Two-hybrid	Ito T et al	11283351
YKR026C	YBR270C	GCN3	BIT2	Two-hybrid	Ito T et al	11283351
YBR270C	YLR423C	BIT2	ATG17	Two-hybrid	Ito T et al	11283351
YBR270C	YLR424W	BIT2	SPP382	Two-hybrid	Ito T et al	11283351
YBR270C	YNL004W	BIT2	HRB1	Two-hybrid	Ito T et al	11283351
YBR270C	YNL018C	BIT2	YNL018C	Two-hybrid	Ito T et al	11283351
YBR270C	YNL047C	BIT2	SLM2	Two-hybrid	Ito T et al	11283351
YBR270C	YOR047C	BIT2	STD1	Two-hybrid	Ito T et al	11283351
YBR270C	YPL124W	BIT2	SPC29	Two-hybrid	Ito T et al	11283351
YBR270C	YPL255W	BIT2	BBP1	Two-hybrid	Ito T et al	11283351
YBR272C	YEL034W	HSM3	HYP2	Two-hybrid	Ito T et al	11283351
YBR272C	YLR015W	HSM3	BRE2	Two-hybrid	Ito T et al	11283351
YBR278W	YDR448W	DPB3	ADA2	Two-hybrid	Ito T et al	11283351
YBR278W	YIL006W	DPB3	YIL006W	Two-hybrid	Ito T et al	11283351
YBR278W	YKL011C	DPB3	CCE1	Two-hybrid	Ito T et al	11283351
YBR278W	YMR290C	DPB3	HAS1	Two-hybrid	Ito T et al	11283351
YBR281C	YNL191W	YBR281C	YNL191W	Two-hybrid	Ito T et al	11283351
YBR282W	YGR187C	MRPL27	HGH1	Two-hybrid	Ito T et al	11283351
YBR283C	YLR311C	SSH1	YLR311C	Two-hybrid	Ito T et al	11283351
YBR285W	YPR156C	YBR285W	TPO3	Two-hybrid	Ito T et al	11283351
YBR288C	YBR014C	APM3	YBR014C	Two-hybrid	Ito T et al	11283351
YBR288C	YGR261C	APM3	APL6	Two-hybrid	Ito T et al	11283351
YBR296C	YHR188C	PHO89	GPI16	Two-hybrid	Ito T et al	11283351
YBR296C	YLR137W	PHO89	YLR137W	Two-hybrid	Ito T et al	11283351
YBR296C	YML089C	PHO89	YML089C	Two-hybrid	Ito T et al	11283351
YCL014W	YIL104C	BUD3	SHQ1	Two-hybrid	Ito T et al	11283351
YCL014W	YJR092W	BUD3	BUD4	Two-hybrid	Ito T et al	11283351
YCL019W	YDR261W-A	YCL019W	YDR261W-A	Two-hybrid	Ito T et al	11283351
YCL019W	YDR261W-B	YCL019W	YDR261W-B	Two-hybrid	Ito T et al	11283351
YCL019W	YHR189W	YCL019W	PTH1	Two-hybrid	Ito T et al	11283351
YCL019W	YOL030W	YCL019W	GAS5	Two-hybrid	Ito T et al	11283351
YCL020W	YDR261W-A	YCL020W	YDR261W-A	Two-hybrid	Ito T et al	11283351
YCL020W	YDR261W-B	YCL020W	YDR261W-B	Two-hybrid	Ito T et al	11283351
YCL020W	YDR510W	YCL020W	SMT3	Two-hybrid	Ito T et al	11283351
YCL022C	YBR038W	YCL022C	CHS2	Two-hybrid	Ito T et al	11283351
YCL025C	YIR038C	AGP1	GTT1	Two-hybrid	Ito T et al	11283351
YCL029C	YER016W	BIK1	BIM1	Two-hybrid	Ito T et al	11283351
YCL031C	YOL082W	RRP7	ATG19	Two-hybrid	Ito T et al	11283351
YCL032W	YBR059C	STE50	AKL1	Two-hybrid	Ito T et al	11283351
YCL032W	YLR362W	STE50	STE11	Two-hybrid	Ito T et al	11283351
YLR362W	YCL032W	STE11	STE50	Two-hybrid	Ito T et al	11283351
YCL032W	YLR423C	STE50	ATG17	Two-hybrid	Ito T et al	11283351
YCL032W	YPR076W	STE50	YPR076W	Two-hybrid	Ito T et al	11283351
YCL038C	YMR009W	ATG22	YMR009W	Two-hybrid	Ito T et al	11283351
YCL040W	YCL040W	GLK1	GLK1	Two-hybrid	Ito T et al	11283351
YCL040W	YDR516C	GLK1	EMI2	Two-hybrid	Ito T et al	11283351
YDR516C	YCL040W	EMI2	GLK1	Two-hybrid	Ito T et al	11283351
YCL043C	YER189W	PDI1	YER189W	Two-hybrid	Ito T et al	11283351
YCL043C	YLR354C	PDI1	TAL1	Two-hybrid	Ito T et al	11283351
YCL055W	YGL036W	KAR4	YGL036W	Two-hybrid	Ito T et al	11283351
YCL055W	YGL192W	KAR4	IME4	Two-hybrid	Ito T et al	11283351
YCL055W	YMR147W	KAR4	YMR147W	Two-hybrid	Ito T et al	11283351
YCL055W	YNL196C	KAR4	YNL196C	Two-hybrid	Ito T et al	11283351
YCL058C	YPL215W	FYV5	CBP3	Two-hybrid	Ito T et al	11283351
YCL063W	YLR423C	VAC17	ATG17	Two-hybrid	Ito T et al	11283351
YLR423C	YCL063W	ATG17	VAC17	Two-hybrid	Ito T et al	11283351
YCL067C	YOL006C	HMLALPHA2	TOP1	Two-hybrid	Ito T et al	11283351
YCL076W	YOR209C	YCL076W	NPT1	Two-hybrid	Ito T et al	11283351
YCR001W	YOR241W	YCR001W	MET7	Two-hybrid	Ito T et al	11283351
YCR003W	YIR039C	MRPL32	YPS6	Two-hybrid	Ito T et al	11283351
YCR012W	YOR128C	PGK1	ADE2	Two-hybrid	Ito T et al	11283351
YCR014C	YJL110C	POL4	GZF3	Two-hybrid	Ito T et al	11283351
YCR021C	YJL068C	HSP30	YJL068C	Two-hybrid	Ito T et al	11283351
YCR030C	YJR126C	SYP1	VPS70	Two-hybrid	Ito T et al	11283351
YCR030C	YMR132C	SYP1	JLP2	Two-hybrid	Ito T et al	11283351
YCR036W	YGL153W	RBK1	PEX14	Two-hybrid	Ito T et al	11283351
YCR038C	YAL036C	BUD5	RBG1	Two-hybrid	Ito T et al	11283351
YCR038C	YDL065C	BUD5	PEX19	Two-hybrid	Ito T et al	11283351
YCR038C	YDR532C	BUD5	YDR532C	Two-hybrid	Ito T et al	11283351
YCR038C	YEL061C	BUD5	CIN8	Two-hybrid	Ito T et al	11283351
YCR038C	YHR119W	BUD5	SET1	Two-hybrid	Ito T et al	11283351
YCR041W	YCR065W	YCR041W	HCM1	Two-hybrid	Ito T et al	11283351
YCR041W	YIL118W	YCR041W	RHO3	Two-hybrid	Ito T et al	11283351
YCR041W	YJL031C	YCR041W	BET4	Two-hybrid	Ito T et al	11283351
YCR046C	YDL049C	IMG1	KNH1	Two-hybrid	Ito T et al	11283351
YCR047C	YNL282W	BUD23	POP3	Two-hybrid	Ito T et al	11283351
YCR048W	YCL026C-A	ARE1	FRM2	Two-hybrid	Ito T et al	11283351
YCR052W	YFR037C	RSC6	RSC8	Two-hybrid	Ito T et al	11283351
YCR052W	YIL084C	RSC6	SDS3	Two-hybrid	Ito T et al	11283351
YCR052W	YNL202W	RSC6	SPS19	Two-hybrid	Ito T et al	11283351
YCR052W	YOR232W	RSC6	MGE1	Two-hybrid	Ito T et al	11283351
YCR060W	YHR034C	TAH1	PIH1	Two-hybrid	Ito T et al	11283351
YCR067C	YNL171C	SED4	YNL171C	Two-hybrid	Ito T et al	11283351
YCR068W	YER019W	ATG15	ISC1	Two-hybrid	Ito T et al	11283351
YCR079W	YMR277W	YCR079W	FCP1	Two-hybrid	Ito T et al	11283351
YCR082W	YGR161C-C	AHC2	YGR161C-C	Two-hybrid	Ito T et al	11283351
YCR086W	YKL077W	CSM1	YKL077W	Two-hybrid	Ito T et al	11283351
YCR086W	YOR281C	CSM1	PLP2	Two-hybrid	Ito T et al	11283351
YCR088W	YOR284W	ABP1	HUA2	Two-hybrid	Ito T et al	11283351
YCR095C	YHL029C	YCR095C	YHL029C	Two-hybrid	Ito T et al	11283351
YCR095C	YNL099C	YCR095C	OCA1	Two-hybrid	Ito T et al	11283351
YCR095C	YPL027W	YCR095C	SMA1	Two-hybrid	Ito T et al	11283351
YCR099C	YGR203W	YCR099C	YGR203W	Two-hybrid	Ito T et al	11283351
YCR099C	YGR205W	YCR099C	YGR205W	Two-hybrid	Ito T et al	11283351
YCR099C	YGR262C	YCR099C	BUD32	Two-hybrid	Ito T et al	11283351
YCR099C	YHR148W	YCR099C	IMP3	Two-hybrid	Ito T et al	11283351
YCR099C	YIL059C	YCR099C	YIL059C	Two-hybrid	Ito T et al	11283351
YCR100C	YIL110W	YCR100C	YIL110W	Two-hybrid	Ito T et al	11283351
YCR106W	YBL080C	RDS1	PET112	Two-hybrid	Ito T et al	11283351
YCR106W	YJL096W	RDS1	MRPL49	Two-hybrid	Ito T et al	11283351
YCR107W	YBR265W	AAD3	TSC10	Two-hybrid	Ito T et al	11283351
YCR107W	YOR114W	AAD3	YOR114W	Two-hybrid	Ito T et al	11283351
YDL001W	YDR207C	RMD1	UME6	Two-hybrid	Ito T et al	11283351
YDL013W	YLR443W	HEX3	ECM7	Two-hybrid	Ito T et al	11283351
YDL024C	YEL017W	DIA3	GTT3	Two-hybrid	Ito T et al	11283351
YDL041W	YIR002C	YDL041W	MPH1	Two-hybrid	Ito T et al	11283351
YDL044C	YDL030W	MTF2	PRP9	Two-hybrid	Ito T et al	11283351
YDL044C	YDR505C	MTF2	PSP1	Two-hybrid	Ito T et al	11283351
YDL044C	YER086W	MTF2	ILV1	Two-hybrid	Ito T et al	11283351
YDL044C	YLL051C	MTF2	FRE6	Two-hybrid	Ito T et al	11283351
YDL044C	YLR386W	MTF2	VAC14	Two-hybrid	Ito T et al	11283351
YDL049C	YBR226C	KNH1	YBR226C	Two-hybrid	Ito T et al	11283351
YDL049C	YMR289W	KNH1	ABZ2	Two-hybrid	Ito T et al	11283351
YDL049C	YOR311C	KNH1	HSD1	Two-hybrid	Ito T et al	11283351
YDL070W	YGL063W	BDF2	PUS2	Two-hybrid	Ito T et al	11283351
YDL085W	YGR139W	NDE2	YGR139W	Two-hybrid	Ito T et al	11283351
YDL089W	YCR086W	YDL089W	CSM1	Two-hybrid	Ito T et al	11283351
YDL089W	YDL089W	YDL089W	YDL089W	Two-hybrid	Ito T et al	11283351
YDL089W	YDR233C	YDL089W	RTN1	Two-hybrid	Ito T et al	11283351
YDL089W	YIR038C	YDL089W	GTT1	Two-hybrid	Ito T et al	11283351
YDL089W	YLR324W	YDL089W	PEX30	Two-hybrid	Ito T et al	11283351
YDL089W	YML008C	YDL089W	ERG6	Two-hybrid	Ito T et al	11283351
YDL089W	YPR028W	YDL089W	YOP1	Two-hybrid	Ito T et al	11283351
YDL091C	YIL022W	UBX3	TIM44	Two-hybrid	Ito T et al	11283351
YDL093W	YGL055W	PMT5	OLE1	Two-hybrid	Ito T et al	11283351
YDL100C	YDR259C	ARR4	YAP6	Two-hybrid	Ito T et al	11283351
YDL100C	YNL199C	ARR4	GCR2	Two-hybrid	Ito T et al	11283351
YDL100C	YOR164C	ARR4	YOR164C	Two-hybrid	Ito T et al	11283351
YOR164C	YDL100C	YOR164C	ARR4	Two-hybrid	Ito T et al	11283351
YDL100C	YPL252C	ARR4	YAH1	Two-hybrid	Ito T et al	11283351
YDL104C	YGR292W	QRI7	MAL12	Two-hybrid	Ito T et al	11283351
YDL108W	YGL134W	KIN28	PCL10	Two-hybrid	Ito T et al	11283351
YDL113C	YLR424W	ATG20	SPP382	Two-hybrid	Ito T et al	11283351
YDL113C	YPL174C	ATG20	NIP100	Two-hybrid	Ito T et al	11283351
YDL114W	YDL123W	YDL114W	SNA4	Two-hybrid	Ito T et al	11283351
YDL114W	YLR040C	YDL114W	YLR040C	Two-hybrid	Ito T et al	11283351
YDL116W	YCL044C	NUP84	YCL044C	Two-hybrid	Ito T et al	11283351
YDL116W	YCL051W	NUP84	LRE1	Two-hybrid	Ito T et al	11283351
YDL116W	YCL069W	NUP84	VBA3	Two-hybrid	Ito T et al	11283351
YDL116W	YCR039C	NUP84	MATALPHA2	Two-hybrid	Ito T et al	11283351
YDL116W	YDL044C	NUP84	MTF2	Two-hybrid	Ito T et al	11283351
YDL116W	YDR113C	NUP84	PDS1	Two-hybrid	Ito T et al	11283351
YDL116W	YGL092W	NUP84	NUP145	Two-hybrid	Ito T et al	11283351
YDL116W	YGL179C	NUP84	TOS3	Two-hybrid	Ito T et al	11283351
YDL116W	YGL263W	NUP84	COS12	Two-hybrid	Ito T et al	11283351
YDL116W	YHL004W	NUP84	MRP4	Two-hybrid	Ito T et al	11283351
YDL116W	YHR033W	NUP84	YHR033W	Two-hybrid	Ito T et al	11283351
YDL116W	YJL090C	NUP84	DPB11	Two-hybrid	Ito T et al	11283351
YDL116W	YOL014W	NUP84	YOL014W	Two-hybrid	Ito T et al	11283351
YDL116W	YOR180C	NUP84	DCI1	Two-hybrid	Ito T et al	11283351
YDL116W	YOR294W	NUP84	RRS1	Two-hybrid	Ito T et al	11283351
YDL116W	YPL091W	NUP84	GLR1	Two-hybrid	Ito T et al	11283351
YDL116W	YPL124W	NUP84	SPC29	Two-hybrid	Ito T et al	11283351
YDL121C	YDL100C	YDL121C	ARR4	Two-hybrid	Ito T et al	11283351
YDL121C	YMR305C	YDL121C	SCW10	Two-hybrid	Ito T et al	11283351
YDL128W	YKL102C	VCX1	YKL102C	Two-hybrid	Ito T et al	11283351
YDL130W	YDL059C	RPP1B	RAD59	Two-hybrid	Ito T et al	11283351
YDL130W	YDR367W	RPP1B	YDR367W	Two-hybrid	Ito T et al	11283351
YDL130W	YDR399W	RPP1B	HPT1	Two-hybrid	Ito T et al	11283351
YDL130W	YJL173C	RPP1B	RFA3	Two-hybrid	Ito T et al	11283351
YDL130W	YJL208C	RPP1B	NUC1	Two-hybrid	Ito T et al	11283351
YDL130W	YJL210W	RPP1B	PEX2	Two-hybrid	Ito T et al	11283351
YDL130W	YJR012C	RPP1B	YJR012C	Two-hybrid	Ito T et al	11283351
YDL130W	YJR108W	RPP1B	ABM1	Two-hybrid	Ito T et al	11283351
YDL130W	YJR144W	RPP1B	MGM101	Two-hybrid	Ito T et al	11283351
YDL130W	YKL002W	RPP1B	DID4	Two-hybrid	Ito T et al	11283351
YKL002W	YDL130W	DID4	RPP1B	Two-hybrid	Ito T et al	11283351
YDL130W	YLR051C	RPP1B	YLR051C	Two-hybrid	Ito T et al	11283351
YDL139C	YCR077C	SCM3	PAT1	Two-hybrid	Ito T et al	11283351
YDL139C	YGL153W	SCM3	PEX14	Two-hybrid	Ito T et al	11283351
YDL140C	YNL266W	RPO21	YNL266W	Two-hybrid	Ito T et al	11283351
YDL147W	YDR341C	RPN5	ArgRS	Two-hybrid	Ito T et al	11283351
YDL147W	YMR080C	RPN5	NAM7	Two-hybrid	Ito T et al	11283351
YDL153C	YBR041W	SAS10	FAT1	Two-hybrid	Ito T et al	11283351
YDL153C	YBR281C	SAS10	YBR281C	Two-hybrid	Ito T et al	11283351
YDL153C	YCR021C	SAS10	HSP30	Two-hybrid	Ito T et al	11283351
YDL153C	YDL005C	SAS10	MED2	Two-hybrid	Ito T et al	11283351
YDL153C	YDL226C	SAS10	GCS1	Two-hybrid	Ito T et al	11283351
YDL153C	YDR040C	SAS10	ENA1	Two-hybrid	Ito T et al	11283351
YDL153C	YDR269C	SAS10	YDR269C	Two-hybrid	Ito T et al	11283351
YDL153C	YDR307W	SAS10	YDR307W	Two-hybrid	Ito T et al	11283351
YDL153C	YDR422C	SAS10	SIP1	Two-hybrid	Ito T et al	11283351
YDL153C	YFL001W	SAS10	DEG1	Two-hybrid	Ito T et al	11283351
YDL153C	YGL120C	SAS10	PRP43	Two-hybrid	Ito T et al	11283351
YDL153C	YGL185C	SAS10	YGL185C	Two-hybrid	Ito T et al	11283351
YDL153C	YGL198W	SAS10	YIP4	Two-hybrid	Ito T et al	11283351
YDL153C	YGL250W	SAS10	YGL250W	Two-hybrid	Ito T et al	11283351
YDL153C	YGR160W	SAS10	YGR160W	Two-hybrid	Ito T et al	11283351
YDL153C	YGR290W	SAS10	YGR290W	Two-hybrid	Ito T et al	11283351
YDL153C	YJL076W	SAS10	NET1	Two-hybrid	Ito T et al	11283351
YDL153C	YJL175W	SAS10	YJL175W	Two-hybrid	Ito T et al	11283351
YDL153C	YJR002W	SAS10	MPP10	Two-hybrid	Ito T et al	11283351
YDL153C	YJR145C	SAS10	RPS4A	Two-hybrid	Ito T et al	11283351
YDL153C	YLR006C	SAS10	SSK1	Two-hybrid	Ito T et al	11283351
